	N1 	N3 	N5 	N10 	N20 	N40 	N100H 	N100 	N100L 	N150 	N200 	N300C 	N1600 	N1600C 	N100_Z0.5 	N100_Z0.1 	N100_Z0.01 
12C 	2.61E_03 	9.90E_03 	9.05E_03 	4.43E_03 	9.20E_03 	3.90E_03 	3.87E_03 	3.04E_03 	3.85E_03 	1.72E_02 	1.21E_02 	8.86E_03 	1.06E_02 	1.68E_02 	3.10E_03 	3.15E_03 	3.16E_03 
13C 	1.84E_08 	6.15E_08 	5.05E_08 	2.57E_08 	4.52E_08 	2.18E_08 	2.28E_08 	1.74E_08 	2.17E_08 	1.00E_07 	6.57E_08 	4.95E_08 	5.57E_08 	8.44E_08 	8.47E_09 	1.91E_09 	2.72E_10 
14N 	2.92E_06 	9.93E_06 	8.46E_06 	3.85E_06 	8.34E_06 	4.30E_06 	4.25E_06 	3.21E_06 	3.98E_06 	1.84E_05 	1.33E_05 	9.16E_06 	1.04E_05 	1.88E_05 	1.80E_06 	4.71E_07 	7.22E_08 
15N 	3.36E_09 	1.22E_08 	1.03E_08 	4.47E_09 	1.03E_08 	5.16E_09 	5.24E_09 	3.67E_09 	4.66E_09 	2.29E_08 	1.71E_08 	1.14E_08 	1.29E_08 	2.41E_08 	2.07E_09 	2.98E_09 	8.73E_08 
16O 	2.63E_02 	4.74E_02 	5.63E_02 	5.16E_02 	9.04E_02 	9.89E_02 	7.30E_02 	1.01E_01 	1.24E_01 	1.24E_01 	1.96E_01 	1.21E_01 	1.91E_01 	2.72E_01 	9.87E_02 	9.64E_02 	9.47E_02 
17O 	3.96E_07 	1.37E_06 	1.16E_06 	5.34E_07 	1.12E_06 	5.54E_07 	5.61E_07 	4.13E_07 	5.14E_07 	2.48E_06 	1.74E_06 	1.22E_06 	1.36E_06 	2.42E_06 	2.84E_07 	9.32E_08 	5.43E_09 
18O 	3.32E_09 	1.33E_08 	1.11E_08 	4.54E_09 	1.12E_08 	5.29E_09 	5.59E_09 	3.53E_09 	4.61E_09 	2.52E_08 	1.98E_08 	1.25E_08 	1.44E_08 	2.73E_08 	2.23E_09 	1.21E_09 	9.93E_10 
19F 	3.73E_11 	1.35E_10 	1.17E_10 	5.05E_11 	1.22E_10 	6.22E_11 	6.32E_11 	4.39E_11 	5.68E_11 	2.64E_10 	2.13E_10 	1.36E_10 	1.58E_10 	2.97E_10 	2.20E_11 	1.48E_11 	4.79E_11 
20Ne 	1.47E_03 	3.37E_03 	3.75E_03 	2.40E_03 	5.41E_03 	4.15E_03 	3.66E_03 	3.53E_03 	4.33E_03 	8.72E_03 	1.15E_02 	6.76E_03 	9.40E_03 	1.73E_02 	3.60E_03 	3.69E_03 	3.74E_03 
21Ne 	3.08E_07 	9.79E_07 	8.81E_07 	4.16E_07 	9.63E_07 	5.43E_07 	5.20E_07 	4.11E_07 	5.17E_07 	1.98E_06 	1.68E_06 	1.08E_06 	1.29E_06 	2.39E_06 	1.97E_07 	4.47E_08 	6.93E_09 
22Ne 	6.40E_05 	3.26E_04 	2.87E_04 	1.31E_04 	2.58E_04 	5.77E_05 	7.62E_05 	4.07E_05 	5.51E_05 	4.83E_04 	2.34E_04 	2.11E_04 	2.32E_04 	2.97E_04 	1.65E_05 	2.30E_06 	1.71E_07 
23Na 	2.20E_05 	6.41E_05 	6.09E_05 	3.22E_05 	7.30E_05 	4.66E_05 	4.25E_05 	3.74E_05 	4.68E_05 	1.38E_04 	1.38E_04 	8.53E_05 	1.09E_04 	2.02E_04 	2.63E_05 	1.96E_05 	1.72E_05 
24Mg 	3.93E_03 	7.13E_03 	8.53E_03 	7.77E_03 	1.46E_02 	1.54E_02 	1.15E_02 	1.52E_02 	1.83E_02 	1.93E_02 	3.32E_02 	1.97E_02 	3.08E_02 	4.64E_02 	2.02E_02 	2.69E_02 	2.90E_02 
25Mg 	3.35E_05 	9.26E_05 	8.92E_05 	5.07E_05 	1.11E_04 	7.70E_05 	6.86E_05 	6.49E_05 	8.02E_05 	2.02E_04 	2.14E_04 	1.33E_04 	1.75E_04 	3.12E_04 	3.09E_05 	1.06E_05 	8.99E_07 
26Mg 	5.15E_05 	1.36E_04 	1.34E_04 	7.55E_05 	1.71E_04 	1.17E_04 	1.04E_04 	9.66E_05 	1.19E_04 	3.07E_04 	3.27E_04 	2.01E_04 	2.63E_04 	4.82E_04 	4.44E_05 	7.36E_06 	1.04E_06 
27Al 	1.98E_04 	3.95E_04 	4.56E_04 	3.71E_04 	7.32E_04 	7.05E_04 	5.47E_04 	6.74E_04 	8.32E_04 	1.04E_03 	1.64E_03 	9.68E_04 	1.48E_03 	2.37E_03 	5.88E_04 	2.68E_04 	8.71E_05 
28Si 	6.32E_02 	8.99E_02 	1.19E_01 	1.38E_01 	1.98E_01 	2.59E_01 	2.12E_01 	2.84E_01 	3.55E_01 	2.71E_01 	3.28E_01 	3.19E_01 	3.61E_01 	3.44E_01 	2.90E_01 	2.94E_01 	2.89E_01 
